Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTer
2017,2182786,9,1,1,1,2,545,4,25,25,370,0,,,MA,528.00,2.10,0.04,2598.71,0.007023546,0.037,360
2017,2182786,9,1,1,3,1,1250,1,49,43,688,0,,,UT,163.30,2.70,0.04,5960.35,0.008663297,0.032,360
2017,2182786,9,1,1,1,1,540,4,36,29,500,0,,,NY,1536.60,1.30,0.04,2574.87,0.005149741,0.047,360
2017,2182786,9,1,1,2,2,400,1,6,37,9,0,,,CA,2711.80,2.60,0.04,1907.31,0.211923504,0.048,360
2017,2182786,9,1,1,1,2,1153,1,6,57,500,0,,,CA,2711.80,2.60,0.04,5497.83,0.010995651,0.048,360
2017,2182786,9,1,1,1,1,3388,4,6,81,450,0,,,CA,2711.80,2.60,0.04,16154.93,0.035899842,0.048,360
2017,2182786,9,1,1,3,2,684,1,37,129,68,0,,,NC,537.00,1.90,0.04,3261.50,0.047963275,0.046,360
2017,2182786,9,1,1,1,2,910,1,36,47,1057,0,,,NY,1536.60,1.30,0.04,4339.13,0.004105141,0.047,360
2017,2182786,9,1,1,1,2,2590,1,12,21,875,0,,,FL,968.00,2.70,0.04,12349.84,0.014114105,0.042,360
2017,2182786,9,1,1,3,1,1988,1,6,73,320,0,,,CA,2711.80,2.60,0.04,9479.34,0.029622932,0.048,360
2017,2182786,9,1,1,1,2,900,1,12,21,360,0,,,FL,968.00,2.70,0.04,4291.45,0.011920697,0.042,360
2017,2182786,9,1,1,1,1,1100,4,48,113,760,0,,,TX,1645.10,1.10,0.04,5245.11,0.006901456,0.043,360
2017,2182786,9,1,1,1,1,1000,4,6,59,180,0,,,CA,2711.80,2.60,0.04,4768.28,0.026490438,0.048,360
2017,2182786,9,1,1,3,1,880,1,6,73,146,0,,,CA,2711.80,2.60,0.04,4196.09,0.028740311,0.048,360
2017,2182786,9,1,1,1,2,1414,1,12,131,717,0,,,FL,968.00,2.70,0.04,6742.35,0.009403551,0.042,360
2017,2182786,9,1,1,1,1,850,1,17,31,324,0,,,IL,815.50,1.40,0.04,4053.04,0.012509373,0.05,360
2017,2182786,9,1,1,3,2,1100,1,6,85,2919,0,,,CA,2711.80,2.60,0.04,5245.11,0.001796885,0.048,360
2017,2182786,9,1,1,3,2,640,4,47,93,429,0,,,TN,341.30,2.10,0.04,3051.70,0.007113516,0.037,360
2017,2182786,9,1,1,3,1,4720,1,48,113,701,0,,,TX,1645.10,1.10,0.04,22506.28,0.032105957,0.043,360
2017,2182786,9,1,1,3,1,1600,1,6,37,333,0,,,CA,2711.80,2.60,0.04,7629.25,0.022910649,0.048,360
2017,2182786,9,1,1,1,1,1000,1,34,21,525,0,,,NJ,600.20,1.60,0.04,4768.28,0.009082436,0.046,360
2017,2182786,9,1,1,1,2,1300,4,34,29,625,0,,,NJ,600.20,1.60,0.04,6198.76,0.00991802,0.046,360
2017,2182786,9,1,1,1,2,7500,1,30,57,2014,0,,,MT,46.80,1.00,0.04,35762.09,0.017756748,0.04,360
